Failed to get ticker 'CVRD' reason: Failed to perform, curl: (28) Operation timed out after 10003 milliseconds with 0 bytes received. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
Total ETFs: 1000
DFVE: 500 rows OK
DFVX: 500 rows OK
DGAP: 5 rows OK
DGCB: 500 rows OK
Batch 19: inserted 9272 rows
DGIN: 500 rows OK
DGJA: 68 rows OK
DGLO: 180 rows OK
DGOC: 130 rows OK
DGRE: 500 rows OK
DGRO: 500 rows OK
DGRS: 500 rows OK
DGRW: 500 rows OK
DGS: 500 rows OK
DGT: 500 rows OK
DHDG: 379 rows OK
DHLX: 145 rows OK
DHS: 500 rows OK
DHSB: 294 rows OK
DIA: 500 rows OK
DIAL: 500 rows OK
DIEM: 500 rows OK
DIG: 500 rows OK
DIHP: 500 rows OK
DIM: 500 rows OK
Batch 20: inserted 8196 rows
DIME: 139 rows OK
DINT: 500 rows OK
DIPS: 441 rows OK
DISO: 500 rows OK
DISV: 500 rows OK
DIV: 500 rows OK
DIVB: 500 rows OK
DIVD: 499 rows OK
DIVG: 500 rows OK
DIVI: 500 rows OK
DIVL: 500 rows OK
DIVN: 210 rows OK
DIVO: 500 rows OK
DIVP: 500 rows OK
DIVS: 500 rows OK
DIVY: 500 rows OK
DIVZ: 500 rows OK
DJAN: 500 rows OK
DJD: 500 rows OK
DJIA: 500 rows OK
Batch 21: inserted 9289 rows
DJP: 500 rows OK
DJTU: 289 rows OK
DJUL: 500 rows OK
DJUN: 500 rows OK
DKNX: 186 rows OK
DLAG: 150 rows OK
DLFE: 45 rows OK
DLLL: 300 rows OK
DLN: 500 rows OK
DLNV: 105 rows OK
DLS: 500 rows OK
DMAR: 500 rows OK
DMAX: 329 rows OK
DMAY: 500 rows OK
DMBS: 500 rows OK
DMX: 349 rows OK
DMXF: 500 rows OK
DNL: 500 rows OK
DNNG: 53 rows OK
DNOV: 500 rows OK
Batch 22: inserted 7306 rows
DOCT: 500 rows OK
DOG: 500 rows OK
DOGD: 177 rows OK
DOGG: 500 rows OK
DOJE: 152 rows OK
DOL: 500 rows OK
DON: 500 rows OK
DPST: 500 rows OK
DRAI: 450 rows OK
DRAM: 17 rows OK
DRGN: 198 rows OK
DRIP: 500 rows OK
DRIV: 500 rows OK
DRLL: 500 rows OK
DRN: 500 rows OK
DRNL: 39 rows OK
DRNZ: 123 rows OK
DRSK: 500 rows OK
DRUP: 500 rows OK
DRV: 500 rows OK
Batch 23: inserted 7656 rows
DSCO: 59 rows OK
DSEP: 500 rows OK
DSI: 500 rows OK
DSMC: 500 rows OK
DSPY: 268 rows OK
DSTL: 500 rows OK
DSTX: 500 rows OK
DTAN: 408 rows OK
DTCR: 500 rows OK
DTD: 500 rows OK
DTEC: 500 rows OK
DTH: 500 rows OK
DTRE: 500 rows OK
DUBS: 500 rows OK
DUG: 500 rows OK
DUHP: 500 rows OK
DUKH: 450 rows OK
DUKQ: 450 rows OK
DUKX: 450 rows OK
DUKZ: 450 rows OK
Batch 24: inserted 9035 rows
DULL: 500 rows OK
DUOG: 93 rows OK
DURA: 500 rows OK
DUSA: 500 rows OK
DUSB: 500 rows OK
DUSL: 500 rows OK
DUST: 500 rows OK
DUTY: 14 rows OK
DVAL: 500 rows OK
DVDN: 500 rows OK
DVGR: 96 rows OK
DVIN: 191 rows OK
DVLU: 500 rows OK
DVND: 500 rows OK
DVOL: 500 rows OK
DVQQ: 334 rows OK
DVRE: 191 rows OK
DVSP: 338 rows OK
DVUT: 192 rows OK
DVVY: 27 rows OK
Batch 25: inserted 6976 rows
DVXB: 191 rows OK
DVXC: 191 rows OK
DVXE: 192 rows OK
DVXF: 191 rows OK
DVXK: 191 rows OK
DVXP: 190 rows OK
DVXV: 191 rows OK
DVXY: 191 rows OK
DVY: 500 rows OK
DVYA: 500 rows OK
DVYE: 500 rows OK
DWAS: 500 rows OK
DWAW: 499 rows OK
DWLD: 500 rows OK
DWM: 500 rows OK
DWMF: 500 rows OK
DWSH: 500 rows OK
DWUS: 499 rows OK
DWX: 500 rows OK
DXD: 500 rows OK
Batch 26: inserted 7526 rows
DXIV: 406 rows OK
DXJ: 500 rows OK
DXUV: 406 rows OK
DYFI: 499 rows OK
DYLD: 500 rows OK
DYLG: 500 rows OK
DYNB: 148 rows OK
DYNF: 500 rows OK
DYTA: 500 rows OK
EAFG: 500 rows OK
EAGG: 500 rows OK
EAGL: 500 rows OK
EALT: 500 rows OK
EAOA: 500 rows OK
EAOK: 500 rows OK
EAOM: 500 rows OK
EAOR: 500 rows OK
EAPR: 500 rows OK
EART: 500 rows OK
EASG: 500 rows OK
Batch 27: inserted 9459 rows
EASY: 143 rows OK
EATZ: 500 rows OK
EBI: 291 rows OK
EBIT: 450 rows OK
EBIZ: 500 rows OK
EBND: 500 rows OK
EBUF: 457 rows OK
ECH: 500 rows OK
ECML: 500 rows OK
ECNS: 500 rows OK
ECON: 500 rows OK
ECOW: 500 rows OK
EDC: 500 rows OK
EDEN: 500 rows OK
EDGE: 317 rows OK
EDGF: 391 rows OK
EDGH: 391 rows OK
EDGI: 391 rows OK
EDGU: 391 rows OK
EDIV: 500 rows OK
