Total ETFs: 1000
DIVI:501 rows fetched
DIVL:501 rows fetched
DIVN:214 rows fetched
DIVO:501 rows fetched
DIVP:501 rows fetched
DIVS:501 rows fetched
DIVY:501 rows fetched
DIVZ:501 rows fetched
DJAN:501 rows fetched
DJD:501 rows fetched
DJIA:501 rows fetched
Batch 21: upserted 9319 rows
DJP:501 rows fetched
DJTU:293 rows fetched
DJUL:501 rows fetched
DJUN:501 rows fetched
DKNX:190 rows fetched
DLAG:154 rows fetched
DLFE:49 rows fetched
DLLL:304 rows fetched
DLN:501 rows fetched
DLNV:109 rows fetched
DLS:501 rows fetched
DMAR:501 rows fetched
DMAX:333 rows fetched
DMAY:501 rows fetched
DMBS:502 rows fetched
DMX:353 rows fetched
DMXF:501 rows fetched
DNL:501 rows fetched
DNNG:57 rows fetched
DNOV:501 rows fetched
UPSERT ERR: Out of range float values are not JSON compliant
Batch 22: upserted 7354 rows
DOCT:501 rows fetched
DOG:501 rows fetched
DOGD:178 rows fetched
DOGG:501 rows fetched
DOJE:156 rows fetched
DOL:501 rows fetched
DON:501 rows fetched
DPST:501 rows fetched
DRAI:454 rows fetched
DRAM:21 rows fetched
DRGN:202 rows fetched
DRIP:501 rows fetched
DRIV:501 rows fetched
DRLL:501 rows fetched
DRN:501 rows fetched
DRNL:43 rows fetched
DRNZ:127 rows fetched
DRSK:501 rows fetched
DRUP:501 rows fetched
DRV:501 rows fetched
Batch 23: upserted 7694 rows
DSCO:63 rows fetched
DSEP:501 rows fetched
DSI:501 rows fetched
DSMC:501 rows fetched
DSPY:272 rows fetched
DSTL:501 rows fetched
DSTX:501 rows fetched
DTAN:412 rows fetched
DTCR:501 rows fetched
DTD:501 rows fetched
DTEC:501 rows fetched
DTH:501 rows fetched
DTRE:501 rows fetched
DUBS:501 rows fetched
DUG:501 rows fetched
DUHP:501 rows fetched
DUKH:454 rows fetched
DUKQ:454 rows fetched
DUKX:454 rows fetched
DUKZ:454 rows fetched
Batch 24: upserted 9076 rows
DULL:501 rows fetched
DUOG:97 rows fetched
DURA:501 rows fetched
DUSA:501 rows fetched
DUSB:501 rows fetched
DUSL:501 rows fetched
DUST:501 rows fetched
DUTY:18 rows fetched
DVAL:501 rows fetched
DVDN:501 rows fetched
DVGR:101 rows fetched
DVIN:196 rows fetched
DVLU:501 rows fetched
DVND:501 rows fetched
DVOL:501 rows fetched
DVQQ:338 rows fetched
DVRE:196 rows fetched
DVSP:343 rows fetched
DVUT:196 rows fetched
DVVY:31 rows fetched
Batch 25: upserted 7027 rows
DVXB:196 rows fetched
DVXC:196 rows fetched
DVXE:196 rows fetched
DVXF:196 rows fetched
DVXK:196 rows fetched
DVXP:195 rows fetched
DVXV:196 rows fetched
DVXY:196 rows fetched
DVY:501 rows fetched
DVYA:501 rows fetched
DVYE:501 rows fetched
DWAS:501 rows fetched
DWAW:501 rows fetched
DWLD:501 rows fetched
DWM:501 rows fetched
DWMF:501 rows fetched
DWSH:501 rows fetched
DWUS:501 rows fetched
DWX:501 rows fetched
DXD:501 rows fetched
Batch 26: upserted 7579 rows
DXIV:410 rows fetched
DXJ:501 rows fetched
DXUV:410 rows fetched
DYFI:501 rows fetched
DYLD:501 rows fetched
DYLG:501 rows fetched
DYNB:152 rows fetched
DYNF:501 rows fetched
DYTA:501 rows fetched
EAFG:501 rows fetched
EAGG:502 rows fetched
EAGL:501 rows fetched
EALT:501 rows fetched
EAOA:501 rows fetched
EAOK:501 rows fetched
EAOM:501 rows fetched
EAOR:501 rows fetched
EAPR:501 rows fetched
EART:501 rows fetched
EASG:501 rows fetched
UPSERT ERR: Out of range float values are not JSON compliant
Batch 27: upserted 9490 rows
EASY:147 rows fetched
EATZ:500 rows fetched
EBI:295 rows fetched
EBIT:454 rows fetched
EBIZ:501 rows fetched
EBND:502 rows fetched
EBUF:461 rows fetched
ECH:501 rows fetched
ECML:501 rows fetched
ECNS:501 rows fetched
ECON:501 rows fetched
ECOW:501 rows fetched
EDC:501 rows fetched
EDEN:501 rows fetched
EDGE:321 rows fetched
EDGF:395 rows fetched
EDGH:395 rows fetched
EDGI:395 rows fetched
EDGU:395 rows fetched
EDIV:501 rows fetched
UPSERT ERR: Out of range float values are not JSON compliant
Batch 28: upserted 8769 rows
EDOG:501 rows fetched
EDOW:501 rows fetched
EDV:501 rows fetched
EDZ:501 rows fetched
EEE:64 rows fetched
EELV:501 rows fetched
EEM:501 rows fetched
EEMA:501 rows fetched
EEMO:501 rows fetched
EEMS:501 rows fetched
EEMV:501 rows fetched
EEMX:501 rows fetched
EES:501 rows fetched
EET:501 rows fetched
EETH:502 rows fetched
EEV:501 rows fetched
EFA:501 rows fetched
GLD:501 rows fetched
HYG:502 rows fetched
IEFA:501 rows fetched
UPSERT ERR: Out of range float values are not JSON compliant
UPSERT ERR: Out of range float values are not JSON compliant
Batch 29: upserted 9585 rows
ITOT:501 rows fetched
IVV:501 rows fetched
LQD:502 rows fetched
MMMA:93 rows fetched
MMSC:501 rows fetched
MMSD:249 rows fetched
MMTM:501 rows fetched
MNA:501 rows fetched
MNBD:501 rows fetched
MNRS:315 rows fetched
MNVT:32 rows fetched
MNZL:112 rows fetched
MOAT:501 rows fetched
MODL:501 rows fetched
MOO:501 rows fetched
MOOD:501 rows fetched
MORT:501 rows fetched
MOTG:501 rows fetched
MOTI:501 rows fetched
MOTO:501 rows fetched
UPSERT ERR: Out of range float values are not JSON compliant
Batch 30: upserted 8317 rows
MPG:129 rows fetched
MPL:133 rows fetched
MPLY:241 rows fetched
MPRO:501 rows fetched
MQQQ:417 rows fetched
MRAL:290 rows fetched
MRCP:501 rows fetched
MRGR:501 rows fetched
MRNX:61 rows fetched
MRNY:501 rows fetched
MRSK:501 rows fetched
MRVU:55 rows fetched
MSBT:19 rows fetched
MSDD:225 rows fetched
MSFD:501 rows fetched
MSFL:501 rows fetched
MSFO:501 rows fetched
MSFU:501 rows fetched
MSFW:195 rows fetched
MSFX:501 rows fetched
Batch 31: upserted 6775 rows
MSFY:501 rows fetched
MSII:229 rows fetched
MSLC:347 rows fetched
MSMR:501 rows fetched
MSOO:181 rows fetched
MSOS:501 rows fetched
MSOX:501 rows fetched
MSSM:347 rows fetched
MSSS:501 rows fetched
MSST:113 rows fetched
MST:251 rows fetched
MSTB:501 rows fetched
MSTI:501 rows fetched
MSTP:225 rows fetched
MSTQ:501 rows fetched
MSTU:406 rows fetched
MSTW:195 rows fetched
MSTX:429 rows fetched
MSTY:501 rows fetched
MSTZ:406 rows fetched
