Total ETFs: 1000
  [19/50] DFIS... 501 rows
  [19/50] DFIV... 501 rows
  [19/50] DFJ... 501 rows
  [19/50] DFLV... 501 rows
  [19/50] DFNL... 501 rows
  [19/50] DFNM... 501 rows
  [19/50] DFSB... 501 rows
  [19/50] DFSD... 501 rows
  [19/50] DFSE... 501 rows
  [19/50] DFSI... 501 rows
  [19/50] DFSU... 501 rows
  [19/50] DFSV... 501 rows
  [19/50] DFUS... 501 rows
  [19/50] DFUV... 501 rows
  [19/50] DFVE... 501 rows
  [19/50] DFVX... 501 rows
  [19/50] DGAP... 4 rows
  [19/50] DGCB... 501 rows
  -> Inserted 9288 rows (19/50 batches, 434s elapsed)
  [20/50] DGIN... 501 rows
  [20/50] DGJA... 67 rows
  [20/50] DGLO... 180 rows
  [20/50] DGOC... 129 rows
  [20/50] DGRE... 501 rows
  [20/50] DGRO... 501 rows
  [20/50] DGRS... 502 rows
  [20/50] DGRW... 502 rows
  [20/50] DGS... 501 rows
  [20/50] DGT... 501 rows
  [20/50] DHDG... 378 rows
  [20/50] DHLX... 144 rows
  [20/50] DHS... 502 rows
  [20/50] DHSB... 293 rows
  [20/50] DIA... 501 rows
  [20/50] DIAL... 501 rows
  [20/50] DIEM... 501 rows
  [20/50] DIG... 501 rows
  [20/50] DIHP... 501 rows
  [20/50] DIM... 501 rows
  INSERT ERROR for DGRS: 400 {"code":"PGRST102","details":null,"hint":null,"message":"Empty or invalid json"}
  INSERT ERROR for DGRW: 400 {"code":"PGRST102","details":null,"hint":null,"message":"Empty or invalid json"}
  INSERT ERROR for DHS: 400 {"code":"PGRST102","details":null,"hint":null,"message":"Empty or invalid json"}
  -> Inserted 6708 rows (20/50 batches, 458s elapsed)
  [21/50] DIME... 138 rows
  [21/50] DINT... 501 rows
  [21/50] DIPS... 440 rows
  [21/50] DISO... 501 rows
  [21/50] DISV... 501 rows
  [21/50] DIV... 501 rows
  [21/50] DIVB... 501 rows
  [21/50] DIVD... 501 rows
  [21/50] DIVG... 501 rows
  [21/50] DIVI... 501 rows
  [21/50] DIVL... 501 rows
  [21/50] DIVN... 209 rows
  [21/50] DIVO... 501 rows
  [21/50] DIVP... 501 rows
  [21/50] DIVS... 501 rows
  [21/50] DIVY... 501 rows
  [21/50] DIVZ... 502 rows
  [21/50] DJAN... 501 rows
  [21/50] DJD... 501 rows
  [21/50] DJIA... 501 rows
  INSERT ERROR for DIVZ: 400 {"code":"PGRST102","details":null,"hint":null,"message":"Empty or invalid json"}
  -> Inserted 8805 rows (21/50 batches, 482s elapsed)
  [22/50] DJP... 501 rows
  [22/50] DJTU... 288 rows
  [22/50] DJUL... 501 rows
  [22/50] DJUN... 501 rows
  [22/50] DKNX... 185 rows
  [22/50] DLAG... 149 rows
  [22/50] DLFE... 44 rows
  [22/50] DLLL... 299 rows
  [22/50] DLN... 502 rows
  [22/50] DLNV... 104 rows
  [22/50] DLS... 501 rows
  [22/50] DMAR... 501 rows
  [22/50] DMAX... 328 rows
  [22/50] DMAY... 501 rows
  [22/50] DMBS... 501 rows
  [22/50] DMX... 348 rows
  [22/50] DMXF... 501 rows
  [22/50] DNL... 501 rows
  [22/50] DNNG... 52 rows
  [22/50] DNOV... 501 rows
  INSERT ERROR for DLN: 400 {"code":"PGRST102","details":null,"hint":null,"message":"Empty or invalid json"}
  -> Inserted 6809 rows (22/50 batches, 505s elapsed)
  [23/50] DOCT... 501 rows
  [23/50] DOG... 501 rows
  [23/50] DOGD... 177 rows
  [23/50] DOGG... 501 rows
  [23/50] DOJE... 151 rows
  [23/50] DOL... 501 rows
  [23/50] DON... 502 rows
  [23/50] DPST... 501 rows
  [23/50] DRAI... 449 rows
  [23/50] DRAM... 16 rows
  [23/50] DRGN... 197 rows
  [23/50] DRIP... 501 rows
  [23/50] DRIV... 501 rows
  [23/50] DRLL... 501 rows
  [23/50] DRN... 501 rows
  [23/50] DRNL... 38 rows
  [23/50] DRNZ... 122 rows
  [23/50] DRSK... 501 rows
  [23/50] DRUP... 501 rows
  [23/50] DRV... 501 rows
  INSERT ERROR for DON: 400 {"code":"PGRST102","details":null,"hint":null,"message":"Empty or invalid json"}
  -> Inserted 7164 rows (23/50 batches, 527s elapsed)
  [24/50] DSCO... 58 rows
  [24/50] DSEP... 501 rows
  [24/50] DSI... 501 rows
  [24/50] DSMC... 501 rows
  [24/50] DSPY... 267 rows
  [24/50] DSTL... 501 rows
  [24/50] DSTX... 501 rows
  [24/50] DTAN... 407 rows
  [24/50] DTCR... 501 rows
  [24/50] DTD... 502 rows
  [24/50] DTEC... 501 rows
  [24/50] DTH... 501 rows
  [24/50] DTRE... 501 rows
  [24/50] DUBS... 501 rows
  [24/50] DUG... 501 rows
  [24/50] DUHP... 501 rows
  [24/50] DUKH... 449 rows
  [24/50] DUKQ... 449 rows
  [24/50] DUKX... 449 rows
  [24/50] DUKZ... 449 rows
  INSERT ERROR for DTD: 400 {"code":"PGRST102","details":null,"hint":null,"message":"Empty or invalid json"}
  -> Inserted 8542 rows (24/50 batches, 551s elapsed)
  [25/50] DULL... 501 rows
  [25/50] DUOG... 92 rows
  [25/50] DURA... 501 rows
  [25/50] DUSA... 501 rows
  [25/50] DUSB... 501 rows
  [25/50] DUSL... 501 rows
  [25/50] DUST... 501 rows
  [25/50] DUTY... 13 rows
  [25/50] DVAL... 501 rows
  [25/50] DVDN... 501 rows
  [25/50] DVGR... 96 rows
  [25/50] DVIN... 191 rows
  [25/50] DVLU... 501 rows
  [25/50] DVND... 501 rows
  [25/50] DVOL... 501 rows
  [25/50] DVQQ... 333 rows
  [25/50] DVRE... 191 rows
  [25/50] DVSP... 338 rows
  [25/50] DVUT... 191 rows
  [25/50] DVVY... 26 rows
  -> Inserted 6982 rows (25/50 batches, 574s elapsed)
  [26/50] DVXB... 191 rows
  [26/50] DVXC... 191 rows
  [26/50] DVXE... 191 rows
  [26/50] DVXF... 191 rows
  [26/50] DVXK... 191 rows
  [26/50] DVXP... 190 rows
  [26/50] DVXV... 191 rows
  [26/50] DVXY... 191 rows
  [26/50] DVY... 501 rows
  [26/50] DVYA... 501 rows
  [26/50] DVYE... 501 rows
  [26/50] DWAS... 501 rows
  [26/50] DWAW... 501 rows
  [26/50] DWLD... 501 rows
  [26/50] DWM... 501 rows
  [26/50] DWMF... 501 rows
  [26/50] DWSH... 501 rows
  [26/50] DWUS... 501 rows
  [26/50] DWX... 501 rows
  [26/50] DXD... 501 rows
  -> Inserted 7539 rows (26/50 batches, 596s elapsed)
  [27/50] DXIV... 405 rows
  [27/50] DXJ... 501 rows
  [27/50] DXUV... 405 rows
  [27/50] DYFI... 501 rows
  [27/50] DYLD... 501 rows
  [27/50] DYLG... 501 rows
  [27/50] DYNB... 147 rows
  [27/50] DYNF... 501 rows
  [27/50] DYTA... 501 rows
  [27/50] EAFG... 501 rows
  [27/50] EAGG... 501 rows
  [27/50] EAGL... 501 rows
  [27/50] EALT... 501 rows
  [27/50] EAOA... 501 rows
  [27/50] EAOK... 501 rows
  [27/50] EAOM... 501 rows
  [27/50] EAOR... 501 rows
  [27/50] EAPR... 501 rows
  [27/50] EART... 501 rows
  [27/50] EASG... 501 rows
  -> Inserted 9474 rows (27/50 batches, 621s elapsed)
  [28/50] EASY... 142 rows
  [28/50] EATZ... 501 rows
  [28/50] EBI... 290 rows
  [28/50] EBIT... 449 rows
  [28/50] EBIZ... 501 rows
  [28/50] EBND... 501 rows
  [28/50] EBUF... 456 rows
  [28/50] ECH... 501 rows
  [28/50] ECML... 501 rows
  [28/50] ECNS... 501 rows
  [28/50] ECON... 501 rows
  [28/50] ECOW... 501 rows
  [28/50] EDC... 501 rows
  [28/50] EDEN... 501 rows
  [28/50] EDGE... 316 rows
  [28/50] EDGF... 390 rows
  [28/50] EDGH... 390 rows
  [28/50] EDGI... 390 rows
  [28/50] EDGU... 390 rows
  [28/50] EDIV... 501 rows
  -> Inserted 8724 rows (28/50 batches, 644s elapsed)
  [29/50] EDOG... 501 rows
  [29/50] EDOW... 501 rows
  [29/50] EDV... 501 rows
  [29/50] EDZ... 501 rows
  [29/50] EEE... 59 rows
  [29/50] EELV... 501 rows
  [29/50] EEM... 501 rows
  [29/50] EEMA... 501 rows
  [29/50] EEMO... 501 rows
  [29/50] EEMS... 501 rows
  [29/50] EEMV... 501 rows
  [29/50] EEMX... 501 rows
  [29/50] EES... 501 rows
  [29/50] EET... 501 rows
  [29/50] EETH... 501 rows
  [29/50] EEV... 501 rows
  [29/50] EFA... 501 rows
  [29/50] GLD... 501 rows
  [29/50] HYG... 501 rows
  [29/50] IEFA... 501 rows
  -> Inserted 9578 rows (29/50 batches, 671s elapsed)
  [30/50] ITOT... 501 rows
  [30/50] IVV... 501 rows
  [30/50] LQD... 501 rows
  [30/50] MMMA... 88 rows
  [30/50] MMSC... 501 rows
  [30/50] MMSD... 244 rows
  [30/50] MMTM... 501 rows
  [30/50] MNA... 501 rows
  [30/50] MNBD... 501 rows
  [30/50] MNRS... 310 rows
  [30/50] MNVT... 27 rows
  [30/50] MNZL... 107 rows
  [30/50] MOAT... 501 rows
  [30/50] MODL... 501 rows
  [30/50] MOO... 501 rows
  [30/50] MOOD... 501 rows
  [30/50] MORT... 501 rows
  [30/50] MOTG... 501 rows
  [30/50] MOTI... 501 rows
  [30/50] MOTO... 501 rows
  -> Inserted 8291 rows (30/50 batches, 696s elapsed)
  [31/50] MPG... 124 rows
  [31/50] MPL... 128 rows
  [31/50] MPLY... 236 rows
  [31/50] MPRO... 501 rows
  [31/50] MQQQ... 412 rows
  [31/50] MRAL... 285 rows
  [31/50] MRCP... 501 rows
  [31/50] MRGR... 501 rows
  [31/50] MRNX... 56 rows
  [31/50] MRNY... 501 rows
  [31/50] MRSK... 501 rows
  [31/50] MRVU... 50 rows
  [31/50] MSBT... 14 rows
  [31/50] MSDD... 220 rows
  [31/50] MSFD... 501 rows
  [31/50] MSFL... 501 rows
  [31/50] MSFO... 501 rows
  [31/50] MSFU... 501 rows
  [31/50] MSFW... 190 rows
  [31/50] MSFX... 501 rows
  -> Inserted 6725 rows (31/50 batches, 719s elapsed)
  [32/50] MSFY... 502 rows
  [32/50] MSII... 224 rows
  [32/50] MSLC... 342 rows
  [32/50] MSMR... 501 rows
  [32/50] MSOO... 176 rows
  [32/50] MSOS... 501 rows
  [32/50] MSOX... 501 rows
  [32/50] MSSM... 342 rows
  [32/50] MSSS... 501 rows
  [32/50] MSST... 108 rows
  [32/50] MST... 246 rows
  [32/50] MSTB... 501 rows
  [32/50] MSTI... 501 rows
  [32/50] MSTP... 220 rows
  [32/50] MSTQ... 501 rows
  [32/50] MSTU... 401 rows
  [32/50] MSTW... 190 rows
  [32/50] MSTX... 424 rows
  [32/50] MSTY... 501 rows
  [32/50] MSTZ... 401 rows
