
ETF Sparkline Backfill
  Supabase: https://oqkobptbvcazifpvjwfz.supabase.co
  Period: 2y | Interval: 1d
  Batch size: 20 | Fetch delay: 0.5s

Found 1000 ETFs in foreign_etfs table

  [12/50] CTEC... 502 rows ✓
  [12/50] CTEF... 212 rows ✓
  [12/50] CTEX... 502 rows ✓
  [12/50] CTIF... 208 rows ✓
  [12/50] CTWO... 211 rows ✓
  [12/50] CURE... 502 rows ✓
  → Inserted 7259 rows into foreign_etf_prices

  [13/50] CUSD... 501 rows ✓
  [13/50] CUT... 502 rows ✓
  [13/50] CVAR... 502 rows ✓
  [13/50] CVIE... 502 rows ✓
  [13/50] CVLC... 502 rows ✓
  [13/50] CVMC... 502 rows ✓
  [13/50] CVNX... 226 rows ✓
  [13/50] CVNY... 307 rows ✓
  [13/50] CVRD... 502 rows ✓
  [13/50] CVRT... 502 rows ✓
  [13/50] CVSB... 502 rows ✓
  [13/50] CVY... 502 rows ✓
  [13/50] CWB... 502 rows ✓
  [13/50] CWEB... 502 rows ✓
  [13/50] CWI... 502 rows ✓
  [13/50] CWII... 116 rows ✓
  [13/50] CWS... 502 rows ✓
  [13/50] CWVX... 197 rows ✓
  [13/50] CWY... 6 rows ✓
  [13/50] CXRN... 292 rows ✓
  → Inserted 8171 rows into foreign_etf_prices

  [14/50] CXSE... 502 rows ✓
  [14/50] CZA... 502 rows ✓
  [14/50] CZAR... 501 rows ✓
  [14/50] DABS... 286 rows ✓
  [14/50] DADS... 179 rows ✓
  [14/50] DAK... 184 rows ✓
  [14/50] DALI... 502 rows ✓
  [14/50] DANA... 96 rows ✓
  [14/50] DAPP... 502 rows ✓
  [14/50] DAPR... 502 rows ✓
  [14/50] DARP... 502 rows ✓
  [14/50] DAT... 502 rows ✓
  [14/50] DAUG... 502 rows ✓
  [14/50] DAX... 502 rows ✓
  [14/50] DBA... 502 rows ✓
  [14/50] DBAW... 502 rows ✓
  [14/50] DBB... 502 rows ✓
  [14/50] DBC... 502 rows ✓
  [14/50] DBE... 502 rows ✓
  [14/50] DBEF... 502 rows ✓
  → Inserted 8776 rows into foreign_etf_prices

  [15/50] DBEM... 502 rows ✓
  [15/50] DBEU... 502 rows ✓
  [15/50] DBEZ... 502 rows ✓
  [15/50] DBJP... 502 rows ✓
  [15/50] DBMF... 502 rows ✓
  [15/50] DBND... 502 rows ✓
  [15/50] DBO... 502 rows ✓
  [15/50] DBP... 502 rows ✓
  [15/50] DBSC... 86 rows ✓
  [15/50] DCMT... 502 rows ✓
  [15/50] DCOR... 502 rows ✓
  [15/50] DCRE... 502 rows ✓
  [15/50] DDEC... 502 rows ✓
  [15/50] DDFA... 15 rows ✓
